품목,산업
(WIND) TOWER FLANGE / 비계 / 굉도 받침에 사용되는 기구,일반기계
(덴티움 + 오스템임플란트 + 디오 + 덴티스 + 메가젠임플란트),바이오헬스
/ 셀트리온 등 바이오 원료 및 의약품 (인천 연수구),바이오헬스
/ 셀트리온 등 바이오 원료 및 의약품 (인천 연수구_글로벌),바이오헬스
/ 현대로템 K-2 TANKS 및 기타 수송장비 부품 (경남 창원시_글로벌),일반기계
/ 현대로템 전차와 그 밖의 장갑차량 (경남 창원시_글로벌),일반기계
/ 현대로템 전차와 그 밖의 장갑차량 + K-2 TANKS 및 기타 수송장비 부품 (경남 창원시),일반기계
12인치 레이저마커 / 레이저 그루빙,반도체
2차전지 원형 각형 등 팩 모듈(Cap assy포함),이차전지
"2차전지 원형·각형 등 Cap Assembly, 모듈",이차전지
3D 프린터,전기기기
3차원 (AOI 및 SPI) 검사장비 (서울 금천구),반도체
3차원 검사장비,반도체
"3차원 검사장비, 모듈",반도체
AFCI PCB ASSEMBLY (자동차단기),전기기기
ArtiSential / ArtiSeal,바이오헬스
BPA,석유화학
BUMPER RAIL (완충기와 그 부분품),자동차부품
"CAR BODY ASSY (KIT, PARTS) 등",자동차부품
"CAR BODY ASSY (KIT, PARTS) 등 + BUMPER RAIL",자동차부품
CCL,비철금속
CCL 동박적층판,비철금속
CCSS,반도체
CCTV,무선통신기기
CMOS 이미지센서(CIS),반도체
CMP (웨이퍼 표면 연마장치),반도체
CNT 도전재,이차전지
CNT도전재,이차전지
COK,반도체
CSB,반도체
Dr. INVIVO 3D 바이오 프린터,바이오헬스
Dr.INVIVO AI Regen Kit,바이오헬스
ECH,석유화학
EDS,전기기기
ESS,이차전지
ESS(에너지 저장장치용-리튬이온),이차전지
"EV Relay 1,000V 이하",이차전지
"EV Relay 1,000V 초과",이차전지
"EV Relays, LS이모빌리티솔루션(LS ELECTRIC 자회사) (계전기, 전기제어용, 전압 1,000V 초과)",이차전지
FCCL,반도체
FPCB,반도체
FPD 및 반도체 이송장치,반도체
H형강,철강제품
H형강 (높이 300~600미리),철강제품
H형강 (높이 300미리 미만),철강제품
H형강 (높이 600미리 초과),철강제품
H형강 (전국),철강제품
H형강 합산,철강제품
"ISP(Image Signal Processor, 이미지신호처리) PCB / 카메라센싱 / 카메라모듈",무선통신기기
Ion Beam Polisher,디스플레이
Ion Sputter Coater,디스플레이
MCOs(eMMC/UFS/SiP 등),반도체
MCOs(eMMC/UFS/SiP),반도체
MCP (복합구조칩 집적회로),반도체
MLCC,전기기기
MLCC + 전력용 필름 콘덴서 + 전장용 필름 콘덴서 + 단층 세라믹 콘덴서,전기기기
NB Latex,석유제품
NCA (니켈 코발트 알루미늄 산화물의 리튬염),이차전지
