품목,DART추가후보상장사
자동차부품,"부산주공, 에스엘, 화천기계, 하스코, 티에이치엔, 한일단조, BGF, 체시스, SJG세종, 스모트로닉, 삼보오토, 에이팸, 아이윈, DYP, 진양홀딩스, 창대정밀, 대진첨단소재"
"메이크업, 기초화장품","졸스, 콜마홀딩스, 차AI헬스케어, 에스티씨라이프, 유한코스메틱, 코스나인, 넥스트아이, 에코글로우, 내츄럴엔도텍, 콜마비앤에이치, 잇츠한불, 나우코스, 바이오인프라생명과학, 달바글로벌, 실리콘투"
기타 화장품,"졸스, 콜마홀딩스, 차AI헬스케어, 에스티씨라이프, 유한코스메틱, 코스나인, 넥스트아이, 에코글로우, 내츄럴엔도텍, 콜마비앤에이치, 잇츠한불, 바이오인프라생명과학"
기타화장품,"졸스, 콜마홀딩스, 차AI헬스케어, 에스티씨라이프, 유한코스메틱, 코스나인, 넥스트아이, 에코글로우, 내츄럴엔도텍, 콜마비앤에이치, 잇츠한불, 바이오인프라생명과학, 씨엔에프, 에이피알, 예스아시아홀딩스, 이미인, 잉글우드랩, 코스메카코리아, 한국콜마, 한국화장품제조"
카메라,"삼성전기, 코아시아, 파트론, 엠씨넥스, 케이이엠텍, 알엔티엑스, 유티아이, 덕우전자, 팸텍, 아이엠티"
소프트웨어,"더존비즈온, 디모아, 인성정보, 브리지텍, MDS테크, 핸디소프트, 머니무브"
인쇄회로,"에이엔피, 아비코전자, 디에이피, 뉴프렉스, 두산, 대덕전자, 샘씨엔에스, 이수페타시스, 코리아써키트, 티엘비, 비에이치, 심텍, 인터플렉스"
안테나,"아모텍, 오늘이엔엠, RF시스템즈"
윤활유,"한국쉘석유, 미창석유공업, 이수스페셜티케미컬"
OLED,"이엠앤아이, 아바코, 덕산네오룩스"
기타비철금속제품,"SIMPAC, 이구산업"
기타사,"범양사, 비엘팜텍"
기타석유화학제품,"카프로, 현대코퍼레이션, 롯데정밀화학, 이수화학"
기타석유화학중간원료,"카프로, 현대코퍼레이션"
기타시멘트,"한일홀딩스, 쌍용씨앤이"
기타자동차,"창대정밀, 현대자동차"
백시멘트,"한일홀딩스, 쌍용씨앤이"
시멘트크링커,"한일홀딩스, 쌍용씨앤이"
아몬드,매일유업
타이어코드,"넥센타이어, 금호타이어"
타이어코드사,"넥센타이어, 금호타이어"
평판 디스플레이 제조용 장비,"로체시스템즈, 루켄테크놀러지스"
포트랜드시멘트,"한일홀딩스, 쌍용씨앤이"
LCD,유아이디
간장,샘표식품
건설중장비부품,진성티이씨
건조수산물,제낙스
고압배전반,서전기전
고압케이블,티씨머티리얼즈
골판지원지,삼보판지
광학렌즈,코아시아씨엠
금속공작기계부품,DN오토모티브
기타무선통신기기부품,"제이케이시냅스, 오이솔루션, 라이콤"
기타보조기억장치,한양디지텍
기타서류,인포바인
기타수산물,제낙스
기타수산물통조림,제낙스
기타염장수산물,제낙스
기타용의 전기로,"동일스틸럭스, HPSP"
기타용접기,동일스틸럭스
기타유선통신기기,제이케이시냅스
기타이륜차,KR모터스
기타축전지,한국앤컴퍼니
기타합성수지,"진양화학, 그래피"
냉장고(200-400리터이하),위니아
냉장고(200리터이하),위니아
냉장고(400리터이상),위니아
다이아몬드,일진다이아
다이캐스팅금형,에이에프더블류
바이오원료,"그린리소스, 녹십자, 바디텍메드"
발효유,매일홀딩스
방송용통신기기,제이케이시냅스
백판지,한창제지
비스킷,"오리온홀딩스, 롯데웰푸드"
석도강판,SHD
스프링,대원강업
스피커,EG
안경렌즈,"폴라리스세원, 인터로조"
에스컬레이터,현대엘리베이터
엘리베이터,대주이엔티
연축전지,한국앤컴퍼니
유선통신기기부품,제이케이시냅스
유아용냅킨,코스모로보틱스
유아용의류,코스모로보틱스
유입식 변압기,"제룡전기, LS ELECTRIC"
이륜차부품,KR모터스
저압스위치 및 차단기,유비쿼스
전기밥솥,쿠쿠홀딩스
전력량계,옴니시스템
전해액,"에이아이코리아, 솔브레인홀딩스"
정류기,이지트로닉스
증폭기,코셋
지게차,디와이파워
참치,신라교역
철근,KISCO홀딩스
철도차량부품,SNT홀딩스
축전지부품,"한국앤컴퍼니, 상신이디피, 신흥에스이씨, 신성에스티"
커피,"큐로홀딩스, SPC그룹"
파운데이션,비비안
파인애플,보락
합성수지제가방,진양화학
스마트폰,"코아시아, 탑엔지니어링, 장원테크, 덕산네오룩스"
바이오의약품,"현대약품, 서린바이오, 큐리언트, 메타케어, 대웅제약, 휴젤"
자동차부품,"영화금속, 팬스타엔터프라이즈, 현대모비스, 성우하이텍"
자동차용내연기관,"팬스타엔터프라이즈, 창대정밀"
화학의약품,"현대약품, 큐리언트, 메타케어"
데이터디스플레이장치,루켄테크놀러지스
소프트웨어,"하우리, 오픈베이스"
안과및광학의료기기,비올메디컬
평판 디스플레이 장비 부품,"로체시스템즈, 루켄테크놀러지스"
기타시멘트,삼표시멘트
기타자동차,팬스타엔터프라이즈
백시멘트,삼표시멘트
시멘트크링커,삼표시멘트
안테나,휴맥스홀딩스
접착제,오공
판유리,오션인더블유
포트랜드시멘트,삼표시멘트
데이터디스플레이장치,"쿠콘, 코텍, 토비스"
반도체제조용장비부품,"피에스케이, 티에스이, 티에프이, 에프에스티, 코미코, 티씨케이, 월덱스, 하나머티리얼즈, 한솔아이원스"
소프트웨어,에스피소프트
반도체제조용장비,"이오테크닉스, 로체시스템즈, 한미반도체, SEMES, 피에스케이홀딩스, 제우스, 오로스테크놀로지, 원익IPS, 주성엔지니어링"
TV카메라,"아이디스, 팅크웨어"
기타정밀화학원료,"솔브레인, 케이씨텍, POSCO홀딩스, STX, 에코프로이노베이션, 이녹스리튬, 한국유미코아, 유니드, 케이엔제이, 새빗켐"
리튬이온전지,"삼성SDI, LG에너지솔루션"
계전기,"LS이모빌리티솔루션, 와이엠텍"
철및비합금강H형강,"동국제강, 현대제철"
기타 집적회로반도체,"삼성전자, 제주반도체, 네페스"
고정식축전기,"다이요유덴, 삼성전기, 삼화콘덴서, 아모텍, 삼화전기"
양극재,"에코프로비엠, 엘앤에프, 코스모신소재, 포스코퓨처엠"
폴리아미드필름,"PI첨단소재, 넥스플렉스"
기타농산가공품,"쎌바이오텍, 케어젠, 코스맥스엔비티"
사료,오에스피
과산화수소,"OCI, 한솔케미칼"
광케이블,"가온전선, 대한광통신, 머큐리"
기타광학기기부품,LS전선
기타계측기,"고영, 인텍플러스, 펨트론"
기타건설중장비,"HD건설기계, 볼보그룹코리아, 포스코인터내셔널"
